"Path","Filename","UTFCodes","Characters"
"glb_flat/emoji_u0023_20e3.glb","emoji_u0023_20e3.glb","0023;20e3","#⃣"
"glb_flat/emoji_u0023.glb","emoji_u0023.glb","0023","#"
"glb_flat/emoji_u002a_20e3.glb","emoji_u002a_20e3.glb","002a;20e3","*⃣"
"glb_flat/emoji_u002a.glb","emoji_u002a.glb","002a","*"
"glb_flat/emoji_u0030_20e3.glb","emoji_u0030_20e3.glb","0030;20e3","0⃣"
"glb_flat/emoji_u0030.glb","emoji_u0030.glb","0030","0"
"glb_flat/emoji_u0031_20e3.glb","emoji_u0031_20e3.glb","0031;20e3","1⃣"
"glb_flat/emoji_u0031.glb","emoji_u0031.glb","0031","1"
"glb_flat/emoji_u0032_20e3.glb","emoji_u0032_20e3.glb","0032;20e3","2⃣"
"glb_flat/emoji_u0032.glb","emoji_u0032.glb","0032","2"
"glb_flat/emoji_u0033_20e3.glb","emoji_u0033_20e3.glb","0033;20e3","3⃣"
"glb_flat/emoji_u0033.glb","emoji_u0033.glb","0033","3"
"glb_flat/emoji_u0034_20e3.glb","emoji_u0034_20e3.glb","0034;20e3","4⃣"
"glb_flat/emoji_u0034.glb","emoji_u0034.glb","0034","4"
"glb_flat/emoji_u0035_20e3.glb","emoji_u0035_20e3.glb","0035;20e3","5⃣"
"glb_flat/emoji_u0035.glb","emoji_u0035.glb","0035","5"
"glb_flat/emoji_u0036_20e3.glb","emoji_u0036_20e3.glb","0036;20e3","6⃣"
"glb_flat/emoji_u0036.glb","emoji_u0036.glb","0036","6"
"glb_flat/emoji_u0037_20e3.glb","emoji_u0037_20e3.glb","0037;20e3","7⃣"
"glb_flat/emoji_u0037.glb","emoji_u0037.glb","0037","7"
"glb_flat/emoji_u0038_20e3.glb","emoji_u0038_20e3.glb","0038;20e3","8⃣"
"glb_flat/emoji_u0038.glb","emoji_u0038.glb","0038","8"
"glb_flat/emoji_u0039_20e3.glb","emoji_u0039_20e3.glb","0039;20e3","9⃣"
"glb_flat/emoji_u0039.glb","emoji_u0039.glb","0039","9"
"glb_flat/emoji_u00a9.glb","emoji_u00a9.glb","00a9","©"
"glb_flat/emoji_u00ae.glb","emoji_u00ae.glb","00ae","®"
"glb_flat/emoji_u1f004.glb","emoji_u1f004.glb","1f004","🀄"
"glb_flat/emoji_u1f0cf.glb","emoji_u1f0cf.glb","1f0cf","🃏"
"glb_flat/emoji_u1f170.glb","emoji_u1f170.glb","1f170","🅰"
"glb_flat/emoji_u1f171.glb","emoji_u1f171.glb","1f171","🅱"
"glb_flat/emoji_u1f17e.glb","emoji_u1f17e.glb","1f17e","🅾"
